id,type,active,is_company,employee,company_id/id,company_type,lastname,firstname,parent_id/id,street,street2,zip,city,state_id,country_id,website,function,phone,mobile,fax,email,title,lang,category_id,comment,customer,user_id,notify_email,opt_out,property_product_pricelist,supplier,property_purchase_currency_id/id,ref,property_payment_term_id,trust,property_supplier_payment_term_id,property_account_position_id,property_account_receivable_id,property_account_payable_id
__demo__.res_partner_39641641,Contact,True,True,False,base.main_company,Company,Windpower Monthly,,,,,,,,,www.windpowermonthly.com,,,,,,,de_DE,,,False,,none,,,False,,,,,,,,
__demo__.res_partner_39641701,Contact,True,True,False,base.main_company,Company,Alpiq,,,Bahnhofquai 12,,4601,Olten,,Switzerland,www.alpiq.com,,+41 62 286 71 11,,,,,de_DE,,,False,,none,,,False,,,,,,,,
__demo__.res_partner_39659860,Contact,True,True,False,base.main_company,Company,Nordex,,,,,,,,,,,,,,,,de_DE,,,False,,none,,,False,,,,,,,,
__demo__.res_partner_39660311,Contact,True,True,False,base.main_company,Company,Impax,,,,,,,,,,,,,,,,de_DE,,,False,,none,,,False,,,,,,,,
__demo__.res_partner_39663654,Contact,True,True,False,base.main_company,Company,MECAL,,,,,,,,,,,,,,,,de_DE,,,False,,none,,,False,,,,,,,,
__demo__.res_partner_39666541,Contact,True,True,False,base.main_company,Company,iABG,,,,,,,,,,,,,,,,de_DE,,,False,,none,,,False,,,,,,,,
__demo__.res_partner_39667051,Contact,True,True,False,base.main_company,Company,Greenbyte,,,Kristinelundsgatan 16,,41137,Gotheburg,,Sweden,www.greenbyte.se,,,,,,,en_US,,,False,,none,,,False,,,,,,,,
__demo__.res_partner_39667432,Contact,True,True,False,base.main_company,Company,GGS GmbH,,,Gotthardstrasse 37,,6490,Andermatt,,Switzerland,,,,,,,,de_DE,,,False,,none,,,False,,,,,,,,
__demo__.res_partner_39668580,Contact,True,True,False,base.main_company,Company,Stromenger,,,,,,,,,,,,,,,,de_DE,,,False,,none,,,False,,,,,,,,
__demo__.res_partner_39668892,Contact,True,True,False,base.main_company,Company,R+V Allgemeine Versicherung AG,,,,,,,,,,,,,,,,de_DE,,,False,,none,,,False,,,,,,,,
__demo__.res_partner_39670203,Contact,True,True,False,base.main_company,Company,RWE Group Business Services GmbH,,,Energiestrasse 99,,41517,Grevenbroich,,Germany,,,,,,,,de_DE,,,False,,none,,,False,,,,,,,,
__demo__.res_partner_39672297,Contact,True,True,False,base.main_company,Company,nWerk,,,,,,,,,,,,,,,,de_DE,,,False,,none,,,False,,,,,,,,
__demo__.res_partner_39677990,Contact,True,True,False,base.main_company,Company,Schneider Electric,,,Parallelweg West 7,,4104AX,Culemborg,,Netherlands,www.schneider-electric.com,,,,,,,en_US,,,False,,none,,,False,,,,,,,,
__demo__.res_partner_39678514,Contact,True,True,False,base.main_company,Company,Agder Energi,,,,,,,,,,,,,,,,de_DE,,,False,,none,,,False,,,,,,,,
__demo__.res_partner_39678572,Contact,True,True,False,base.main_company,Company,WIND-consult,,,,,,,,,,,,,,,,de_DE,,,False,,none,,,False,,,,,,,,
__demo__.res_partner_39685358,Contact,True,True,False,base.main_company,Company,Hallands Hamnar AB,,,,,,,,,,,,,,,,de_DE,,,False,,none,,,False,,,,,,,,
__demo__.res_partner_39685489,Contact,True,True,False,base.main_company,Company,BTC AG,,,,,,,,,,,,,,,,de_DE,,,False,,none,,,False,,,,,,,,
__demo__.res_partner_39686713,Contact,True,True,False,base.main_company,Company,DELPHI IMM GmbH,,,,,,,,,,,,,,,,de_DE,,,False,,none,,,False,,,,,,,,
__demo__.res_partner_39687504,Contact,True,True,False,base.main_company,Company,Energy Consulting Christian Meyer,,,,,,,,,,,,,,,,de_DE,,,False,,none,,,False,,,,,,,,
__demo__.res_partner_39687560,Contact,True,True,False,base.main_company,Company,WAB e.V.,,,,,,,,,,,,,,,,de_DE,,,False,,none,,,False,,,,,,,,
__demo__.res_partner_39687931,Contact,True,True,False,base.main_company,Company,M.O.S.S. Computer Grafik Systeme GmbH,,,,,,,,,,,,,,,,de_DE,,,False,,none,,,False,,,,,,,,
__demo__.res_partner_39688361,Contact,True,True,False,base.main_company,Company,Esri Deutschland GmbH,,,,,,,,,,,,,,,,de_DE,,,False,,none,,,False,,,,,,,,
__demo__.res_partner_39690816,Contact,True,True,False,base.main_company,Company,Geocom Informatik GmbH,,,,,,,,,,,,,,,,de_DE,,,False,,none,,,False,,,,,,,,
__demo__.res_partner_39692968,Contact,True,True,False,base.main_company,Company,STEAG Energy Services GmbH,,,,,,,,,,,,,,,,de_DE,,,False,,none,,,False,,,,,,,,
__demo__.res_partner_39693506,Contact,True,True,False,base.main_company,Company,Gliwitzky Rensink & Partner GbR,,,,,,,,,,,,,,,,de_DE,,,False,,none,,,False,,,,,,,,
__demo__.res_partner_39695959,Contact,True,True,False,base.main_company,Company,Notus Energy,,,,,,,,,,,,,,,,de_DE,,,False,,none,,,False,,,,,,,,
