id,account_dest_id/id,account_src_id/id,position_id/id
__setup__.account_fiscal_position_account_705,__custom__.l10n_fr_pcg_706995,__custom__.l10n_fr_pcg_706001,__custom__.fr_fiscal_position_cn
__setup__.account_fiscal_position_account_706,__custom__.l10n_fr_pcg_707995,l10n_fr.1_pcg_7072,__custom__.fr_fiscal_position_cn
__setup__.account_fiscal_position_account_707,__custom__.l10n_fr_pcg_706995,__custom__.l10n_fr_pcg_706140,__custom__.fr_fiscal_position_cn
__setup__.account_fiscal_position_account_708,__custom__.l10n_fr_pcg_706995,__custom__.l10n_fr_pcg_706150,__custom__.fr_fiscal_position_cn
__setup__.account_fiscal_position_account_709,__custom__.l10n_fr_pcg_706995,__custom__.l10n_fr_pcg_706130,__custom__.fr_fiscal_position_cn
__setup__.account_fiscal_position_account_710,__custom__.l10n_fr_pcg_708995,l10n_fr.1_pcg_7083,__custom__.fr_fiscal_position_cn
__setup__.account_fiscal_position_account_711,__custom__.l10n_fr_pcg_707995,__custom__.l10n_fr_pcg_707000,__custom__.fr_fiscal_position_cn
__setup__.account_fiscal_position_account_712,__custom__.l10n_fr_pcg_706995,__custom__.l10n_fr_pcg_706100,__custom__.fr_fiscal_position_cn
__setup__.account_fiscal_position_account_713,__custom__.l10n_fr_pcg_706995,__custom__.l10n_fr_pcg_706111,__custom__.fr_fiscal_position_cn
__setup__.account_fiscal_position_account_714,__custom__.l10n_fr_pcg_706995,__custom__.l10n_fr_pcg_706160,__custom__.fr_fiscal_position_cn
__setup__.account_fiscal_position_account_715,__custom__.l10n_fr_pcg_707995,l10n_fr.1_pcg_7071,__custom__.fr_fiscal_position_cn
__setup__.account_fiscal_position_account_716,__custom__.l10n_fr_pcg_708995,l10n_fr.1_pcg_7085,__custom__.fr_fiscal_position_cn
__setup__.account_fiscal_position_account_717,__custom__.l10n_fr_pcg_607995,__custom__.l10n_fr_pcg_607050,__custom__.fr_fiscal_position_cn
__setup__.account_fiscal_position_account_718,__custom__.l10n_fr_pcg_604995,l10n_fr.1_pcg_604,__custom__.fr_fiscal_position_cn
__setup__.account_fiscal_position_account_719,__custom__.l10n_fr_pcg_624295,__custom__.l10n_fr_pcg_613510,__custom__.fr_fiscal_position_cn
__setup__.account_fiscal_position_account_720,__custom__.l10n_fr_pcg_607995,l10n_fr.1_pcg_6071,__custom__.fr_fiscal_position_cn
__setup__.account_fiscal_position_account_721,__custom__.l10n_fr_pcg_607995,__custom__.l10n_fr_pcg_607021,__custom__.fr_fiscal_position_cn
__setup__.account_fiscal_position_account_722,__custom__.l10n_fr_pcg_604995,__custom__.l10n_fr_pcg_604200,__custom__.fr_fiscal_position_cn
__setup__.account_fiscal_position_account_723,__custom__.l10n_fr_pcg_604995,__custom__.l10n_fr_pcg_604300,__custom__.fr_fiscal_position_cn
__setup__.account_fiscal_position_account_724,__custom__.l10n_fr_pcg_624295,l10n_fr.1_pcg_6242,__custom__.fr_fiscal_position_cn
__setup__.account_fiscal_position_account_725,__custom__.l10n_fr_pcg_706994,__custom__.l10n_fr_pcg_706001,__custom__.fr_fiscal_position_tw
__setup__.account_fiscal_position_account_726,__custom__.l10n_fr_pcg_707994,l10n_fr.1_pcg_7072,__custom__.fr_fiscal_position_tw
__setup__.account_fiscal_position_account_727,__custom__.l10n_fr_pcg_706994,__custom__.l10n_fr_pcg_706140,__custom__.fr_fiscal_position_tw
__setup__.account_fiscal_position_account_728,__custom__.l10n_fr_pcg_706994,__custom__.l10n_fr_pcg_706150,__custom__.fr_fiscal_position_tw
__setup__.account_fiscal_position_account_729,__custom__.l10n_fr_pcg_706994,__custom__.l10n_fr_pcg_706130,__custom__.fr_fiscal_position_tw
__setup__.account_fiscal_position_account_730,__custom__.l10n_fr_pcg_708994,l10n_fr.1_pcg_7083,__custom__.fr_fiscal_position_tw
__setup__.account_fiscal_position_account_731,__custom__.l10n_fr_pcg_707994,__custom__.l10n_fr_pcg_707000,__custom__.fr_fiscal_position_tw
__setup__.account_fiscal_position_account_732,__custom__.l10n_fr_pcg_706994,__custom__.l10n_fr_pcg_706100,__custom__.fr_fiscal_position_tw
__setup__.account_fiscal_position_account_733,__custom__.l10n_fr_pcg_706994,__custom__.l10n_fr_pcg_706111,__custom__.fr_fiscal_position_tw
__setup__.account_fiscal_position_account_734,__custom__.l10n_fr_pcg_706994,__custom__.l10n_fr_pcg_706160,__custom__.fr_fiscal_position_tw
__setup__.account_fiscal_position_account_735,__custom__.l10n_fr_pcg_707994,l10n_fr.1_pcg_7071,__custom__.fr_fiscal_position_tw
__setup__.account_fiscal_position_account_736,__custom__.l10n_fr_pcg_708994,l10n_fr.1_pcg_7085,__custom__.fr_fiscal_position_tw
__setup__.account_fiscal_position_account_737,__custom__.l10n_fr_pcg_607994,__custom__.l10n_fr_pcg_607050,__custom__.fr_fiscal_position_tw
__setup__.account_fiscal_position_account_738,__custom__.l10n_fr_pcg_604994,l10n_fr.1_pcg_604,__custom__.fr_fiscal_position_tw
__setup__.account_fiscal_position_account_739,__custom__.l10n_fr_pcg_624294,__custom__.l10n_fr_pcg_613510,__custom__.fr_fiscal_position_tw
__setup__.account_fiscal_position_account_740,__custom__.l10n_fr_pcg_607994,l10n_fr.1_pcg_6071,__custom__.fr_fiscal_position_tw
__setup__.account_fiscal_position_account_741,__custom__.l10n_fr_pcg_607994,__custom__.l10n_fr_pcg_607021,__custom__.fr_fiscal_position_tw
__setup__.account_fiscal_position_account_742,__custom__.l10n_fr_pcg_604994,__custom__.l10n_fr_pcg_604200,__custom__.fr_fiscal_position_tw
__setup__.account_fiscal_position_account_743,__custom__.l10n_fr_pcg_604994,__custom__.l10n_fr_pcg_604300,__custom__.fr_fiscal_position_tw
__setup__.account_fiscal_position_account_744,__custom__.l10n_fr_pcg_624294,l10n_fr.1_pcg_6242,__custom__.fr_fiscal_position_tw
__setup__.account_fiscal_position_account_745,__custom__.l10n_fr_pcg_706992,__custom__.l10n_fr_pcg_706001,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_746,__custom__.l10n_fr_pcg_707992,l10n_fr.1_pcg_7072,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_747,__custom__.l10n_fr_pcg_706992,__custom__.l10n_fr_pcg_706140,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_748,__custom__.l10n_fr_pcg_706992,__custom__.l10n_fr_pcg_706150,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_749,__custom__.l10n_fr_pcg_706992,__custom__.l10n_fr_pcg_706130,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_750,__custom__.l10n_fr_pcg_708992,l10n_fr.1_pcg_7083,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_751,__custom__.l10n_fr_pcg_707992,__custom__.l10n_fr_pcg_707000,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_752,__custom__.l10n_fr_pcg_706992,__custom__.l10n_fr_pcg_706100,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_753,__custom__.l10n_fr_pcg_706992,__custom__.l10n_fr_pcg_706111,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_754,__custom__.l10n_fr_pcg_706992,__custom__.l10n_fr_pcg_706160,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_755,__custom__.l10n_fr_pcg_707992,l10n_fr.1_pcg_7071,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_756,__custom__.l10n_fr_pcg_708992,l10n_fr.1_pcg_7085,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_757,__custom__.l10n_fr_pcg_607992,__custom__.l10n_fr_pcg_607050,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_758,__custom__.l10n_fr_pcg_604992,l10n_fr.1_pcg_604,__custom__.fr_fiscal_position_de
