"id","bank_acc_number","bank_id/id","code","company_id/id","currency_id/id","default_credit_account_id/id","default_debit_account_id/id","display_on_footer","inbound_payment_method_ids/id","name","outbound_payment_method_ids/id","sequence_id/id","show_on_dashboard","type"
"__setup__.fr_account_journal_customer_invoices","","","INV","base.main_company","","l10n_fr.1_pcg_7071","l10n_fr.1_pcg_7071","False","account.account_payment_method_manual_in","Customer Invoices","account.account_payment_method_manual_out","__setup__.fr_ir_sequence_inv_range_year_s_customer_invoices","True","sale"
"__setup__.jp_account_journal_customer_invoices","","","INV","__setup__.res_company_roctool_japan","","l10n_jp.7_B41001","l10n_jp.7_B41001","False","account.account_payment_method_manual_in","Customer Invoices","account.account_payment_method_manual_out,account_sepa.account_payment_method_sepa_ct","__setup__.jp_ir_sequence_inv_range_year_s_customer_invoices","True","sale"
"__setup__.us_account_journal_customer_invoices","","","INV","__setup__.res_company_roctool_inc","","l10n_generic_coa.4_conf_a_sale","l10n_generic_coa.4_conf_a_sale","False","account.account_payment_method_manual_in","Customer Invoices","account.account_payment_method_manual_out,account_sepa.account_payment_method_sepa_ct","__setup__.us_ir_sequence_inv_range_year_s_customer_invoices","True","sale"
"__setup__.de_account_journal_customer_invoices","","","INV","__setup__.res_company_roctool_gmbh","","l10n_de_skr03.5_account_8400","l10n_de_skr03.5_account_8400","False","account.account_payment_method_manual_in","Customer Invoices","account.account_payment_method_manual_out,account_sepa.account_payment_method_sepa_ct","__setup__.de_ir_sequence_inv_range_year_s_customer_invoices","True","sale"
"__setup__.us_account_journal_vendor_bills","","","BILL","__setup__.res_company_roctool_inc","","l10n_generic_coa.4_conf_a_expense","l10n_generic_coa.4_conf_a_expense","False","account.account_payment_method_manual_in","Vendor Bills","account.account_payment_method_manual_out,account_sepa.account_payment_method_sepa_ct","__setup__.us_ir_sequence_bill_range_year_s_vendor_bills","True","purchase"
"__setup__.de_account_journal_vendor_bills","","","BILL","__setup__.res_company_roctool_gmbh","","l10n_de_skr03.5_account_3400","l10n_de_skr03.5_account_3400","False","account.account_payment_method_manual_in","Vendor Bills","account.account_payment_method_manual_out,account_sepa.account_payment_method_sepa_ct","__setup__.de_ir_sequence_bill_range_year_s_vendor_bills","True","purchase"
"__setup__.fr_account_journal_vendor_bills","","","BILL","base.main_company","","l10n_fr.1_pcg_6071","l10n_fr.1_pcg_6071","False","account.account_payment_method_manual_in","Vendor Bills","account.account_payment_method_manual_out","__setup__.fr_ir_sequence_bill_range_year_s_vendor_bills","True","purchase"
"__setup__.jp_account_journal_vendor_bills","","","BILL","__setup__.res_company_roctool_japan","","l10n_jp.7_A21219","l10n_jp.7_A21219","False","account.account_payment_method_manual_in","Vendor Bills","account.account_payment_method_manual_out,account_sepa.account_payment_method_sepa_ct","__setup__.jp_ir_sequence_bill_range_year_s_vendor_bills","True","purchase"
"__setup__.de_account_journal_miscellaneous_operations","","","MISC","__setup__.res_company_roctool_gmbh","","","","False","account.account_payment_method_manual_in","Miscellaneous Operations","account.account_payment_method_manual_out,account_sepa.account_payment_method_sepa_ct","__setup__.de_ir_sequence_misc_range_year_s_miscellaneous_operations","False","general"
"__setup__.fr_account_journal_miscellaneous_operations","","","MISC","base.main_company","","","","False","account.account_payment_method_manual_in","Miscellaneous Operations","account.account_payment_method_manual_out","__setup__.fr_ir_sequence_misc_range_year_s_miscellaneous_operations","False","general"
