"id","account_id/id","amount","amount_type","children_tax_ids/id","description","name","price_include","refund_account_id/id","sequence","type_tax_use","company_id/id"
"l10n_fr.1_tva_acq_normale","l10n_fr.1_pcg_44566","20.0","percent","","ACH-20.0","TVA déductible (achat) 20,0%","False","l10n_fr.1_pcg_44566","9","purchase","base.main_company"
"l10n_fr.1_tva_normale","l10n_fr.1_pcg_445711","20.0","percent","","20.0","TVA collectée (vente) 20,0%","False","l10n_fr.1_pcg_445711","9","sale","base.main_company"
"l10n_fr.1_tva_acq_super_reduite_TTC","l10n_fr.1_pcg_44566","2.1","percent","","ACH-2.1-TTC","TVA déductible (achat) 2,1% TTC","True","l10n_fr.1_pcg_44566","10","purchase","base.main_company"
"l10n_fr.1_tva_imm_super_reduite","l10n_fr.1_pcg_44562","2.1","percent","","IMMO-2.1","TVA déd./immobilisation (achat) 2,1%","False","l10n_fr.1_pcg_44562","10","purchase","base.main_company"
"l10n_fr.1_tva_acq_intra_reduite","l10n_fr.1_pcg_445662","5.5","percent","","ACH_UE_ded.-5.5","TVA déd. s/ acq. intracommunautaire (achat) 5,5%","False","l10n_fr.1_pcg_445662","10","purchase","base.main_company"
"l10n_fr.1_tva_acq_reduite","l10n_fr.1_pcg_44566","5.5","percent","","ACH-5.5","TVA déductible (achat) 5,5%","False","l10n_fr.1_pcg_44566","10","purchase","base.main_company"
"l10n_fr.1_tva_acq_super_reduite","l10n_fr.1_pcg_44566","2.1","percent","","ACH-2.1","TVA déductible (achat) 2,1%","False","l10n_fr.1_pcg_44566","10","purchase","base.main_company"
"l10n_fr.1_tva_acq_intra_super_reduite","l10n_fr.1_pcg_445662","2.1","percent","","ACH_UE_ded.-2.1","TVA déd. s/ acq. intracommunautaire (achat) 2,1%","False","l10n_fr.1_pcg_445662","10","purchase","base.main_company"
"l10n_fr.1_tva_import_0","l10n_fr.1_pcg_44566","0.0","percent","","IMPORT-0","TVA 0% import (achat)","False","l10n_fr.1_pcg_44566","10","purchase","base.main_company"
"l10n_fr.1_tva_intra_super_reduite","l10n_fr.1_pcg_445203","-2.1","percent","","ACH_UE_due-2.1","TVA due s/ acq. intracommunautaire (achat) 2,1%","False","l10n_fr.1_pcg_445203","10","purchase","base.main_company"
