id,engineering_validation_required,name,parent_id/id,process_validation_required,removal_strategy_id/id,route_ids/id,system_validation_required,type
product.product_category_all,False,Tous,,False,,,False,normal
hr_expense.cat_expense,False,Frais,product.product_category_all,False,,,False,normal
product.product_category_1,False,En vente,product.product_category_all,False,,,False,normal
__setup__.product_category_marchandise,False,Marchandise,product.product_category_1,False,,,False,normal
__setup__.product_category_kit_generateur,False,Kit Générateur,product.product_category_1,False,,,False,normal
__setup__.product_category_install,False,Install,product.product_category_1,False,,,False,normal
__setup__.product_category_fournitures_labo,False,Fournitures Labo,product.product_category_1,False,,,False,normal
__setup__.product_category_licences,False,Licences,product.product_category_1,False,,,False,normal
__setup__.product_category_fournitures_projets_divers,False,Fournitures Projets Divers,product.product_category_1,False,,,False,normal
__setup__.product_category_prestations_diverses,False,Prestations diverses,product.product_category_1,False,,,False,normal
__setup__.product_category_moules,False,Moules,product.product_category_1,False,,,False,normal
__setup__.product_category_prestations_r_d,False,Prestations R&D,product.product_category_1,False,,,False,normal
__setup__.product_category_redevances,False,Redevances,product.product_category_1,False,,,False,normal
__setup__.product_category_fournitures_sav_garantie,False,Fournitures SAV/Garantie,product.product_category_1,False,,,False,normal
__setup__.product_category_royalties,False,Royalties,product.product_category_1,False,,,False,normal
__setup__.product_category_transport_s_ventes,False,Transport s/Ventes,product.product_category_1,False,,,False,normal
__setup__.product_category_etudes,False,Etudes,product.product_category_1,False,,,False,normal
__setup__.product_category_location_mat_technique,False,Location Mat. Technique,product.product_category_1,False,,,False,normal
__setup__.product_category_support_technique,False,Support Technique,product.product_category_1,False,,,False,normal
__setup__.product_category_tool_hardware,False,Tool hardware,product.product_category_1,False,,,False,normal
__setup__.product_category_essais,False,Essais,product.product_category_1,False,,,False,normal
